date,holiday_name,information,more_information,jurisdiction
2016-03-25,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,VIC
2016-03-25,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,WA
2016-03-25,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,SA
2016-03-26,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,ACT
2016-03-26,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,NSW
2016-03-26,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,SA
2016-03-26,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,VIC
2016-03-26,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,QLD
2016-03-26,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,NT
2016-03-27,Easter Sunday,Public Holiday as part of Easter.,NA,ACT
2016-03-27,Easter Sunday,Public Holiday as part of Easter.,NA,NSW
2016-03-27,Easter Sunday,Public Holiday as part of Easter.,NA,VIC
2016-03-28,Easter Monday,Public Holiday as part of Easter.,NA,ACT
2016-03-28,Easter Tuesday,Restricted public holiday in Tasmania. Observed by some awards/agreements and the State Public Service,http://worksafe.tas.gov.au/laws/public_holidays,TAS
2016-03-28,Easter Monday,Public Holiday as part of Easter.,NA,NSW
2016-03-28,Easter Monday,Public Holiday as part of Easter.,NA,NT
2016-03-28,Easter Monday,Public Holiday as part of Easter.,NA,QLD
2016-03-28,Easter Monday,Public Holiday as part of Easter.,NA,TAS
2016-03-28,Easter Monday,Public Holiday as part of Easter.,NA,VIC
2016-03-28,Easter Monday,Public Holiday as part of Easter.,NA,WA
2016-03-28,Easter Monday,Public Holiday as part of Easter.,NA,SA
2016-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,ACT
2016-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,NSW
2016-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,NT
2016-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,QLD
